seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
2007,1966,BritishBlues,Rock,1964,,0.65,0.7,106,46,57,3,0,0,0,0,104,15,89,14.423076923076923,15,61,28,2398451,1.6560429530735918,864284,26.489555541593173,22626.896226415094,2217754,183297,92.36596806981609,0.8493750302197808,115.53846153846153,1.8461538461538463,1.6679778269230767
2007,1966,BritishPop,Pop,1964,1968,0.8,0.75,122,40,79,3,0,0,0,0,119,18,101,15.126050420168067,18,55,46,4303791,2.9716107425382243,1498813,25.830006665972725,35276.975409836065,3970457,337939,92.15626882951335,0.7742977032967032,208.71153846153845,3.230769230769231,2.7668686263736255
2007,1966,Bubblegum,Pop,1967,1971,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3010961978021968,0,0,0
2007,1966,Childrens,NonMusic,1950,,0.3,0.35,27,11,13,3,0,0,0,0,27,1,26,3.7037037037037037,1,9,17,476783,0.32920127502929447,173089,26.634321835684567,17658.62962962963,344581,133332,72.10119833526186,0.4443749752747256,72.53846153846153,0.6730769230769231,0.41922170054945046
2007,1966,Classical,Classical,1945,,0.15,0.3,33,8,22,3,0,0,0,0,33,2,31,6.0606060606060606,2,10,21,707736,0.4886658995478714,350110,33.09649986860091,21446.545454545456,586636,122469,82.72907397353,0.37825807967033026,76.84615384615384,0.4230769230769231,0.5712133104395608
2007,1966,Comedy,NonMusic,1955,,0.15,0.35,54,29,22,3,0,0,0,0,54,4,50,7.407407407407407,4,21,29,1244232,0.8590968235701548,355591,22.226896350408765,23041.333333333332,1092813,153175,87.70654292015654,0.4385991126373648,103.73076923076923,0.9230769230769231,0.7237515467032969
2007,1966,ContemporaryFolk,Folk,1961,1969,0.5,0.45,49,21,25,3,0,0,0,0,49,3,46,6.122448979591836,3,25,21,739126,0.5103395498734273,461560,38.441357690520256,15084.204081632653,608109,132611,82.09701371638405,0.5443156565934061,91.92307692307692,0.34615384615384615,0.7488225851648344
2007,1966,Country,Country,1950,,0.65,0.55,166,122,41,3,0,0,0,0,165,49,116,29.696969696969695,49,29,87,18693544,12.907210449232076,494235,2.5757801358875354,112611.7108433735,17664597,1036456,94.45776662950476,0.7500914285714272,251.15384615384616,21.423076923076923,5.697857656593408
2007,1966,CountryRock,Country,1968,,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15054824175824155,0,0,0
2007,1966,DooWop,RhythmAndSoul,1954,1965,0.85,0.1,20,20,0,0,0,0,0,0,20,8,12,40,8,2,10,510330,0.35236425519722775,116276,18.55647727599161,25516.5,401834,110572,78.42101770861387,0.0971437335164836,90.15384615384616,0.11538461538461539,0.5498718104395597
