seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1968,EasyListening,Pop,1950,,0.35,0.55,128,79,46,3,126,13,113,10.317460317460318,13,103,10,4336167,3.3566133422548514,647007,12.983833195469394,33876.3046875,1658633,2678708,38.24077931617551,0.685995857142859,322.75,12.807692307692308,0.7803754862637365
1001,1968,Folk,Folk,1958,1966,0.5,0.3,4,4,0,0,4,1,3,25,1,2,1,579610,0.44867429213504334,290070,33.35364731855395,144902.5,109368,471024,18.84381590373403,0.3899999999999992,132.75,1.4615384615384615,0.0508678543956044
1001,1968,FolkRock,Folk,1965,,0.55,0.6,64,28,33,3,64,59,5,92.1875,59,3,2,4758544,3.6835740597875426,767574,13.889931412973809,74352.25,4760203,0,100,0.7475887582417572,25.03846153846154,5.826923076923077,1.8787520109890135
1001,1968,Funk,RhythmAndSoul,1967,,0.7,0.55,72,11,58,3,71,55,16,77.46478873239437,55,3,13,5672321,4.390925983743795,926939,14.046105169367474,78782.23611111111,5673869,0,100,0.7380344120879122,26.884615384615383,7.0576923076923075,1.9543671401098894
1001,1968,GarageRock,Rock,1963,1968,0.85,0.4,29,15,11,3,29,25,4,86.20689655172414,25,2,2,1718708,1.330446499002495,282859,14.131877673842544,59265.793103448275,1715911,3492,99.79690625176296,0.4533475576923076,20.01923076923077,1.8461538461538463,0.5908437060439566
1001,1968,Gospel,Gospel,1950,,0.5,0.45,160,121,36,3,160,12,148,7.5,12,121,27,1841539,1.425529592767681,400085,17.84799770166629,11509.61875,931666,911286,50.55291727619601,0.6107622912087914,379.2692307692308,1.7884615384615385,0.685125837912088
1001,1968,HardRock,Rock,1967,,0.4,0.5,54,14,37,3,54,44,10,81.48148148148148,44,3,7,3979896,3.0808250730164946,623628,13.5467524444317,73701.77777777778,3980889,0,100,0.7457251318681323,21.21153846153846,4.75,1.1798944313186814
1001,1968,Jazz,Jazz,1945,,0.3,0.4,118,91,24,3,118,9,109,7.627118644067797,9,93,16,8676857,6.716727924694183,1787283,17.080075381254456,73532.68644067796,3109215,5569625,35.8252370132414,0.5197692307692332,526.5384615384615,43.21153846153846,0.8750126538461541
1001,1968,LatinPop,Latin,1958,,0.6,0.35,44,25,16,3,44,2,42,4.545454545454546,2,37,5,284994,0.22061296598184044,98886,25.759612378868397,6477.136363636364,106548,178713,37.351057452648625,0.4190189258241762,89.15384615384616,0.07692307692307693,0.09083028021978018
1001,1968,ProgressiveRock,Rock,1968,,0.25,0.25,14,0,11,3,14,4,10,28.571428571428573,4,4,6,1062800,0.8227101631806285,73742,6.488277599947912,75914.28571428571,1062862,0,100,0.39510039285714255,5.384615384615385,0.7692307692307693,0.17049715384615383
1001,1968,ProtoMetal,Rock,1968,,0.4,0.2,19,2,14,3,19,14,5,73.6842105263158,14,1,4,843330,0.6528191211094462,227535,21.247776330349765,44385.78947368421,843672,0,100,0.3543641730769236,7.3076923076923075,1.2115384615384615,0.29012430494505487
1001,1968,ProtoPunk,Rock,1967,,0.4,0.25,31,8,20,3,31,25,6,80.64516129032258,25,4,2,1278765,0.989887995690324,180366,12.361193066283974,41250.48387096774,1279357,0,100,0.3531116923076924,11.673076923076923,1.6538461538461537,0.4395939313186809
1001,1968,PsychedelicRock,Rock,1966,1971,0.45,0.75,53,33,17,3,53,3,50,5.660377358490566,3,47,3,283639,0.2195640647105667,115324,28.9059386459396,5351.679245283019,153359,130481,54.03008737316798,0.8317804890109893,62.44230769230769,0.19230769230769232,0.14394728296703296
1001,1968,Reggae,Caribbean,1968,,0.8,0.1,15,6,6,3,15,0,15,0,0,13,2,18791,0.014546054456461413,3239,14.702678166137085,1252.7333333333333,5072,13735,26.968681873770404,0.15147061263736267,6.923076923076923,0,0.006377667582417585
1001,1968,RnB,RhythmAndSoul,1949,1965,0.8,0.35,8,8,0,0,8,2,6,25,2,4,2,678202,0.5249940516460563,78095,10.32596982402416,84775.25,436434,242179,64.31264947768463,0.3879931456043954,95.0576923076923,1.4615384615384615,0.11020892032967029
1001,1968,RockAndRoll,Rock,1955,,0.85,0.35,244,210,31,3,242,36,206,14.87603305785124,36,147,59,10707112,8.288341984111089,1753042,14.06918405663365,43881.60655737705,5990470,4718971,55.936346257475066,0.45500000000000174,704.5384615384615,26.173076923076923,2.0304912390109897
1001,1968,Rocksteady,Caribbean,1966,1968,0.8,0.12,15,7,5,3,15,1,14,6.666666666666667,1,8,6,91341,0.07070678304015975,0,0,6089.4,21377,70093,23.37050399037936,0.11002732692307672,37.13461538461539,0,0.0458063901098901
1001,1968,SingerSongwriter,Folk,1967,,0.35,0.4,30,10,17,3,30,2,28,6.666666666666667,2,25,3,250837,0.19417213888007084,37423,12.98237702074516,8361.233333333334,133674,117260,53.27058110897686,0.531491788461537,28.615384615384617,0.8653846153846154,0.09231443681318681
1001,1968,Ska,Caribbean,1964,1967,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,39595,0.030650365930689673,1696,4.107432612433702,0,0,39658,0,0.09299843406593411,19.76923076923077,0,0
1001,1968,Soul,RhythmAndSoul,1961,,0.7,0.9,443,338,102,3,440,50,390,11.363636363636363,50,383,7,8382024,6.488498619518201,1259832,13.066281014775578,18921.047404063207,6492238,1893719,77.41797388181217,0.9660768571428571,985.8846153846154,7.230769230769231,2.7940789010989024
1001,1968,SunshinePop,Pop,1965,1971,0.55,0.6,84,35,46,3,84,75,9,89.28571428571429,75,2,7,7064877,5.468899237411619,1236826,14.898461195251143,84105.67857142857,7067187,0,100,0.7151742005494508,35.67307692307692,8.903846153846153,2.786201090659339
1001,1968,SurfRock,Rock,1961,1966,0.8,0.25,2,2,0,0,2,2,0,100,2,0,0,46014,0.03561929379807437,4958,9.72690889115593,23007,46108,0,100,0.2922049615384612,0.8461538461538461,0.038461538461538464,0.03795621153846155
1001,1968,TeenPop,Pop,1957,1965,0.9,0.28,6,6,0,0,6,0,6,0,0,5,1,632149,0.4893445680696943,156317,19.8254585486248,105358.16666666667,204404,428155,32.31382369075454,0.34455323076923067,85.51923076923077,2.8653846153846154,0.0558748956043956
1001,1968,TexMex,Latin,1959,,0.75,0.3,49,30,16,3,49,2,47,4.081632653061225,2,36,11,421742,0.3264691660144191,25165,5.630925449813944,8606.979591836734,250398,171699,59.322383243662,0.4113796703296701,94.23076923076923,0.3269230769230769,0.19803425000000002
1001,1968,TraditionalPop,Pop,1950,1971,0.45,0.32,235,189,43,3,235,38,197,16.170212765957448,38,135,62,34872047,26.994342752928628,4131280,10.592122051536784,148391.68936170213,22772183,12104350,65.29371196385833,0.4030355302197809,838.25,116.92307692307692,3.3760456318681324
1001,1969,AcidRock,Rock,1966,1971,0.4,0.65,80,40,37,3,80,5,75,6.25,5,72,3,480559,0.3663012290553825,89404,15.685930490224804,6006.9875,167488,313135,34.848103399129876,0.7727399395604386,83.11538461538461,0.4807692307692308,0.1332843489010988
1001,1969,BaroquePop,Pop,1966,1970,0.5,0.45,60,26,31,3,60,47,13,78.33333333333333,47,1,12,6716808,5.1198188479021844,923170,12.083411758515535,111946.8,6718526,0,100,0.5850000000000015,33,6.519230769230769,2.0045247884615383
1001,1969,Blues,Blues,1945,,0.5,0.4,59,45,11,3,59,1,58,1.694915254237288,1,34,24,1739978,1.326280602234744,587018,25.226429267605102,29491.15254237288,717881,1023429,41.226490400905064,0.5098043653846183,165.05769230769232,3.0576923076923075,0.6376814175824177
1001,1969,BluesRock,Rock,1966,,0.45,0.7,101,57,41,3,101,83,18,82.17821782178218,83,6,12,5506550,4.197311948907244,1496803,21.372662494665054,54520.29702970297,5508510,0,100,0.8962362857142849,38.76923076923077,6.923076923076923,3.031015673076924
1001,1969,Boogaloo,Latin,1966,1969,0.7,0.25,14,7,4,3,14,0,14,0,0,8,6,251075,0.1913793750300799,4544,1.7776456366702005,17933.928571428572,58966,192612,23.438456462806762,0.25381479945054836,68.09615384615384,0.019230769230769232,0.09762260439560437
