seed,year,genre,family,emergenceYear,deathYear,singleOrientation,authoredBaseline,supply,retainedSupply,transitionSupply,floorSupply,unavailableIdentityTransitions,annualFloorRequested,annualFloorReroutes,albumCapacityReroutes,decisions,singleDecisions,albumDecisions,decisionSingleSharePct,orphanDecisions,standaloneDecisions,promoDecisions,fulfilledUnits,marketSharePct,backorders,backorderRatePct,unitsPerSupply,settlementSingleUnits,settlementAlbumUnits,settlementSingleSharePct,meanAcceptance,meanEligible,meanCharted,meanRadio
1001,1962,SurfRock,Rock,1961,1966,0.8,0.6,61,33,25,3,0,3,0,0,60,57,3,95,57,0,3,1893966,1.2565972706880792,814681,30.077045846136468,31048.622950819674,1891481,4042,99.7867606987623,0.744982837912088,24.384615384615383,1.1346153846153846,1.6542538186813185
1001,1962,TeenPop,Pop,1957,1965,0.9,0.75,545,448,94,3,0,3,0,0,544,503,41,92.46323529411765,503,0,41,18663045,12.382445835737707,9150783,32.900120760076604,34244.119266055044,18648904,36101,99.80679159572074,0.8178294313186815,272.5576923076923,13.25,18.316431730769246
1001,1962,TexMex,Latin,1959,,0.75,0.2,34,22,9,3,0,3,0,0,34,31,3,91.17647058823529,31,0,3,485341,0.3220111532905148,3547,0.7255240464073571,14274.735294117647,483779,2635,99.45828039488995,0.26488916758241765,16.21153846153846,0.23076923076923078,0.5328476868131864
1001,1962,TraditionalPop,Pop,1950,1971,0.45,0.49,478,389,86,3,0,3,0,0,478,302,176,63.17991631799163,302,2,174,34712140,23.030603708695143,7910534,18.559450305722255,72619.53974895398,33452885,1280412,96.3135892339849,0.5784908846153849,727.5961538461538,36.26923076923077,16.162697335164832
1001,1963,AcidRock,Rock,1966,1971,0.4,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04245891758241752,0,0,0
1001,1963,BaroquePop,Pop,1966,1970,0.5,0.039999999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04994523076923074,0,0,0
1001,1963,Blues,Blues,1945,,0.5,0.3,84,58,23,3,0,3,0,0,84,44,40,52.38095238095238,44,0,40,2671609,1.7727990607249051,901055,25.2208156154623,31804.869047619046,2475326,199234,92.55077470686767,0.3857604423076915,138.84615384615384,2.519230769230769,1.6642012142857117
1001,1963,BluesRock,Rock,1966,,0.45,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11284562087912076,0,0,0
1001,1963,Boogaloo,Latin,1966,1969,0.7,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07528259890109881,0,0,0
1001,1963,BossaNova,Jazz,1962,1967,0.45,0.525,61,18,40,3,0,3,0,0,61,61,0,100,61,0,0,2386212,1.5834182293481185,714391,23.040389240415493,39118.229508196724,2387830,0,100,0.690231046703297,21.615384615384617,1.6538461538461537,1.571564387362637
1001,1963,BritishBeat,Rock,1963,1967,0.75,0.485,3,0,0,3,0,3,0,0,3,3,0,100,3,0,0,63337,0.04202852068140709,64231,50.35040135457168,21112.333333333332,63442,0,100,0.6926759587912092,1.1538461538461537,0.019230769230769232,0.07294608516483517
1001,1963,BritishBlues,Rock,1964,,0.65,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11732196153846151,0,0,0
1001,1963,BritishPop,Pop,1964,1968,0.8,0.41000000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5887751236263736,0,0,0
1001,1963,Bubblegum,Pop,1967,1971,0.9,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04245891758241752,0,0,0
1001,1963,Childrens,NonMusic,1950,,0.3,0.35,47,26,18,3,0,3,0,0,47,8,39,17.02127659574468,8,0,39,869088,0.5767005538936597,490253,36.065490557556934,18491.23404255319,844350,26515,96.955326026422,0.42498753296703373,52,0.46153846153846156,0.9348358543956051
1001,1963,Classical,Classical,1945,,0.15,0.4,101,62,36,3,0,3,0,0,101,1,100,0.9900990099009901,1,8,92,1703136,1.1301496218521394,921131,35.10050616038688,16862.73267326733,1508857,198225,88.38807977589829,0.49474295054945217,209.6346153846154,0.5961538461538461,1.909396200549449
1001,1963,Comedy,NonMusic,1955,,0.15,0.47500000000000003,62,33,26,3,0,3,0,0,62,10,52,16.129032258064516,10,1,51,2361583,1.5670751686432796,783474,24.911281417157145,38090.04838709677,2306027,58019,97.54577533601292,0.5462565576923072,88.3076923076923,1.3269230769230769,1.460938093406594
1001,1963,ContemporaryFolk,Folk,1961,1969,0.5,0.47500000000000003,48,16,29,3,0,3,0,0,47,21,26,44.680851063829785,21,0,26,1792254,1.1892856356526924,671404,27.25232154787718,37338.625,1786318,8012,99.5534823583176,0.6410714120879121,33.59615384615385,1.1730769230769231,1.21218310989011
1001,1963,Country,Country,1950,,0.65,0.575,297,228,66,3,0,3,0,0,297,283,14,95.28619528619528,283,0,14,17023277,11.296132583794964,260256,1.5058032405758708,57317.43097643097,16928816,107342,99.36991662087192,0.7607392197802217,189.55769230769232,12.23076923076923,10.24842209615385
1001,1963,CountryRock,Country,1968,,0.4,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042458909340659275,0,0,0
1001,1963,DooWop,RhythmAndSoul,1954,1965,0.85,0.35,144,79,62,3,0,3,0,0,144,127,17,88.19444444444444,127,0,17,4531484,3.00695595009971,2278781,33.4609739855938,31468.63888888889,4531309,6955,99.84674756691105,0.3580342335164824,77.07692307692308,3.173076923076923,3.603382417582417
1001,1963,EasyListening,Pop,1950,,0.35,0.625,198,130,65,3,0,3,0,0,197,40,157,20.304568527918782,40,19,138,10338839,6.860541369708673,3796507,26.85825306292467,52216.35858585859,8220321,2127416,79.44076081562568,0.7244466126373627,685.9423076923077,30.826923076923077,6.1560889945054855
1001,1963,Folk,Folk,1958,1966,0.5,0.55,173,124,46,3,0,3,0,0,172,61,111,35.46511627906977,61,1,110,8498776,5.639531125292423,2965412,25.86674259005522,49125.87283236994,7875711,630778,92.58474324718459,0.7359305741758242,351.21153846153845,12.51923076923077,5.722724450549453
1001,1963,FolkRock,Folk,1965,,0.55,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09914171153846132,0,0,0
1001,1963,Funk,RhythmAndSoul,1967,,0.7,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08046123076923078,0,0,0
1001,1963,GarageRock,Rock,1963,1968,0.85,0.35,30,11,16,3,0,3,0,0,30,26,4,86.66666666666667,26,0,4,1113654,0.7389871665998031,489663,30.540622971003238,37121.8,1114239,0,100,0.5253508681318676,11.75,0.8269230769230769,0.7046897527472524
1001,1963,Gospel,Gospel,1950,,0.5,0.365,88,29,56,3,0,3,0,0,88,58,30,65.9090909090909,58,0,30,1649835,1.0947806877245412,1301180,44.092625757578325,18748.125,1623476,29745,98.20078501301398,0.48123146153846186,69.71153846153847,0.9038461538461539,1.9362265109890124
1001,1963,HardRock,Rock,1967,,0.4,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042458912087912026,0,0,0
1001,1963,Jazz,Jazz,1945,,0.3,0.33,199,128,68,3,0,3,0,0,199,41,158,20.603015075376884,41,5,153,13580654,9.01171191414235,3007018,18.128029056759743,68244.49246231155,11326510,2263105,83.3468056306231,0.3966781098901093,671.3846153846154,40.07692307692308,5.188656458791207
1001,1963,LatinPop,Latin,1958,,0.6,0.275,48,33,12,3,0,3,0,0,48,34,14,70.83333333333333,34,0,14,892496,0.5922333958677093,417441,31.86725773834925,18593.666666666668,888489,5683,99.36443995115033,0.3698837554945052,26.28846153846154,0.40384615384615385,0.9427463296703297
1001,1963,ProgressiveRock,Rock,1968,,0.25,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017486368131868137,0,0,0
1001,1963,ProtoMetal,Rock,1968,,0.4,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017486368131868137,0,0,0
1001,1963,ProtoPunk,Rock,1967,,0.4,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01748636538461539,0,0,0
1001,1963,PsychedelicRock,Rock,1966,1971,0.45,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07989042307692291,0,0,0
1001,1963,Reggae,Caribbean,1968,,0.8,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01748636538461539,0,0,0
1001,1963,RnB,RhythmAndSoul,1949,,0.8,0.525,317,232,82,3,0,3,0,0,317,304,13,95.89905362776025,304,0,13,9821170,6.517031852797178,4646001,32.11409473213526,30981.60883280757,9822000,12193,99.87601422912891,0.6353889560439564,148.76923076923077,6.5,8.640006167582412
1001,1963,RockAndRoll,Rock,1955,,0.85,0.575,355,285,67,3,0,3,0,0,353,336,17,95.1841359773371,336,0,17,11566686,7.675303562946491,5369954,31.706135337351448,32582.214084507043,11557124,23306,99.79874667866392,0.6894135604395599,170.44230769230768,7.1923076923076925,10.035335920329675
1001,1963,Rocksteady,Caribbean,1966,1968,0.8,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017486368131868137,0,0,0
1001,1963,SingerSongwriter,Folk,1967,,0.35,0.07500000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08743151923076922,0,0,0
